Name,District,Address,Name_Per,Telephone,twd97X,twd97Y,wgs84aX,wgs84aY
ùÚ¥Í¤¤¦èÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¤¤¥¡¸ô2¬q170¸¹,§õ©úÂE,02-22603485,294613.38,2763232.5,121.4418919,24.97636626
Áp¨¹ÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¥ß¼w¸ô91¸¹,¶ÀªF´­,02-22265907,296744.31,2764510.21,121.4630413,24.98783744
¨}¤èÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¼s©úµó23«Ñ24¸¹1¼Ó,±iºÓ,02-89661161,295904.52,2765000.58,121.454739,24.99229025
µ½²EÃÄ®vÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°ÏºÖ¤¯µó19¸¹1¼Ó¡BB1¼Ó,§õ¦w¾ì,02-82627371,294478.13,2763219.87,121.4405519,24.97625626
´I¬f¤jÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¤ô·½µó22¸¹1¼Ó,»¯©ú¸q,02-82626815,294540.05,2763119.28,121.4411619,24.97534625
¥ß·sÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¥ú©úµó5¸¹1¼Ó,¤ý¤é·s,02-82626111,294634.06,2763054.01,121.4420909,24.97475427
§»©_ÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï©µ¦Nµó126¸¹1¼Ó,§õ§Ó¯E,02-82619585,297398.34,2764293.87,121.4695124,24.98586399
§»ªLÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¸Î¥Á¸ô134¸¹1¼Ó,·¨¹Fºa,02-82615919,295579.12,2764327,121.4514933,24.98621891
¨Î¨ÎÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¤¤¥¡¸ô2¬q223-9¸¹2¼Ó,¶À¶iºÖ,02-82614558,294615.79,2763113.99,121.4419119,24.97529626
·ç¯qÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¼s©úµó63«Ñ4¸¹,³\¦ó¥É¬ü,02-29538598,295888.45,2765140.89,121.4545844,24.99355741
®a®õÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï«C¶³¸ô181¸¹1¡B2¼Ó,³¯©É¼ä,02-22749490,296369.08,2763956.35,121.4593058,24.98284865
¤p­ÜÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï«C¶³¸ô190¸¹1¼Ó,¦¶®Ë§Ó,02-22744257,296345.72,2763885.12,121.459072,24.98220628
¤¸»aÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¾Ç©²¸ô1¬q69¸¹1¼Ó,§õºûã¸,02-22733868,296146.62,2764554.37,121.4571222,24.98825444
¤TÂ×ÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¥ÃÂ×¸ô135«Ñ8¸¹,§d©úÁo,02-22733766,297165.54,2764012.88,121.4671968,24.98333447
§Ó¤¯ÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¾Ç©²¸ô1¬q102¸¹,®}¥²¦¨,02-22727222,296024.34,2764515.25,121.4559097,24.98790499
³Í¤@ÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¸Î¥Á¸ô92«Ñ21§Ë8¸¹1¼Ó,­J¦Ê±R,02-22707679,295442.37,2764334.23,121.450139,24.98628822
¦¨±dÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¾Ç©²¸ô1¬q188¸¹1¼Ó,®]¥ìªì,02-22706596,295754.45,2764318.28,121.4532298,24.98613488
°··~ÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¤¤¥¡¸ô2¬q223-10¸¹,¤ý²QªÚ,02-22704798,294615.79,2763113.99,121.4419119,24.97529626
¶¶Ä×¾Ç©²ÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¾Ç©²¸ô1¬q144«Ñ2¸¹1¼Ó,ÁÂ¨Ý¦¨,02-22701979,295927.62,2764445.87,121.4549493,24.98728152
®¶øÊ¤¤¦èÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¤¤¥¡¸ô4¬q210¸¹1¼Ó,·¨¶®´@,02-22686663,291980.67,2761125.27,121.4157517,24.95741692
³»®HÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¤¤¥¡¸ô4¬q170¸¹,ÁÂ¤å§Ó,02-22682915,292084.09,2761203.81,121.4167784,24.95812314
¥¿¤¯ÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¤¤¥¡¸ô4¬q240¸¹,§f«í·V,02-22682516,291933.38,2761089.25,121.4152823,24.95709305
¥þ®a°·±dÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¤¤¥¡¸ô4¬q288¸¹,§d©ú·í,02-22678143,291830.47,2761011.43,121.4142609,24.95639334
¸Û¦wÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¤¤¥¡¸ô4¬q36¸¹1¼Ó,³¯®¶½÷,02-22677737,292479.15,2761510.51,121.4207001,24.9608811
´º¬ö¤jÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¾Ç¦¨¸ô34¸¹,³¯¿ü¬F,02-22668550,295697.89,2764446.84,121.4526738,24.98729725
²±¦w¤jÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¤¤¥¡¸ô1¬q258¸¹1¼Ó,³¯§Ó»Ê,02-22668525,294843.89,2764118.21,121.4442037,24.98435578
¤j²³ÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï©ú”¢µó6«Ñ1¸¹,ÁÂ¶¶©v,02-22666057,294624,2763066,121.4419917,24.9748628
¸Û®¦ÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ïª÷«°¸ô3¬q137¸¹1¼Ó,¤ý·s´I,02-22665533,297261.69,2764550.38,121.4681676,24.98818411
±R·RÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¥ÃÂ×¸ô17¸¹,¼B´ÉµØ,02-22665506,296699.71,2764555.69,121.462601,24.98824943
²»µoÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï«C¶³¸ô255¸¹,½²´º´­,02-22655056,296354.73,2763740.29,121.4591564,24.98089853
¨ó¦¨ÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï©µ¦Nµó333¸¹,±i¨£¦³,02-22653212,296959.04,2764098.47,121.4651543,24.9841136
¤jªYÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¸Î¥Á¸ô251¸¹,¹ù­Å¥É,02-22653208,295898.17,2763977.16,121.4546421,24.9830509
©|¦wÃÄ®vÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¤¤¥¡¸ô2¬q223-3¸¹1¼Ó,ªL·ç¤å,02-22647622,294615.79,2763113.99,121.4419119,24.97529626
«°¦w¤jÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ïª÷«°¸ô3¬q40¸¹,¸­¯ÕµJ,02-22646561,297001.69,2764350.82,121.4655853,24.98639052
¸Î¥ÁÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¸Î¥Á¸ô255-5¸¹1¼Ó,ªL¤é­^,02-22645874,295913.19,2763960.07,121.4547903,24.98289614
¶¶Ä×©ú¼wÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï©ú¼w¸ô2¬q139¡B141¸¹1¼Ó,ªL¿Ä¸s,02-22644779,295298.22,2763937.58,121.4486981,24.98271152
¤¸±RÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ïª÷«°¸ô3¬q176-1¸¹2¼Ó,³¯«®·_,02-22643076,297218.3,2764480.25,121.4677353,24.98755229
¾G®aÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï²M¤ô¸ô127¸¹1¼Ó,¾GÂ×µn,02-22640005,296227.79,2763828.23,121.457902,24.98169628
¥ß±dÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¤¤¥¡¸ô2¬q238¸¹2¼Ó,§d«H¸Û,02-22636123,294610.86,2763077.42,121.4418619,24.97496625
¤g«°ª÷«°ÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¸Î¥Á¸ô280¸¹1¡B2¼Ó,¥Û²Ð§Ê,02-22631616,295977.3,2763861.72,121.455422,24.98200628
¼Ö§QÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¸Î¥Á¸ô77¸¹1¼Ó,¶ÀÃ¢¿o,02-22630092,295409.66,2764469.03,121.4498194,24.98750626
²»¦w¤jÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¥ß¼w¸ô42-1¸¹1¼Ó,¸â©ú»a,02-22629707,296797.43,2764451.02,121.4635654,24.98730145
«°±dÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¤¤¥¡¸ô2¬q2¸¹1¡B2¼Ó,³¯±Ò­Û,02-22628171,294714.72,2763735.7,121.4429119,24.98090628
¤j·~ÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï«C¤¯¸ô41¸¹1¼Ó,§õªø¾§,02-22626791,296434.64,2763479.15,121.4599391,24.9785384
¸Î¥ÍÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¸Î¥Í¸ô4¸¹,³¯´º¶§,02-22624919,295262.11,2764500.86,121.4483589,24.98779804
³Õ²±°·«OÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¥ß¼w¸ô66¸¹2¼Ó,³¯§Ó»¨,02-22622331,296841.44,2764397.85,121.4639995,24.98682003
¶¶Ä×ª÷«°ÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ïª÷«°¸ô3¬q147¸¹1¼Ó,³¢¥¿¤¤,02-22621590,297288.33,2764566.96,121.468432,24.9883329
³Õ´fÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¤¤¥¡¸ô1¬q249«Ñ20¸¹,¥j³Õ¤¯,02-22618337,295051.07,2764232.68,121.4462596,24.98538312
¾Ç©²¹ê©MÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¾Ç©²¸ô1¬q121¸¹,³¯¬üªá,02-22612111,295965.08,2764444.88,121.4553203,24.98727146
¾Ç¦wÃÄ®vÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¾Ç©²¸ô1¬q211¸¹1¼Ó,¸­¤h¥°,02-22610565,295593.61,2764133.26,121.4516304,24.98446929
Ä×¥ÍÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ïª÷«°¸ô2¬q390¸¹1¼Ó,ÁÂÖö»ñ,02-22609911,296804.23,2764259.73,121.4636263,24.98557427
¤[¹FÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¤¤¥¡¸ô3¬q47¸¹,»¯¥@±l,02-22606982,294333.54,2762500.68,121.4390967,24.96976755
´f»aÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¤¤¥¡¸ô2¬q216¸¹1¼Ó,§õºû«Û,02-22606812,294615.72,2763135.03,121.4419119,24.97548626
¤ß¤¤¥~ÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¤¤¥¡¸ô2¬q157¸¹,ªô®¶·½,02-22603023,294635.62,2763245.84,121.4421126,24.97648612
°·¹©ÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¾Ç©²¸ô1¬q117¸¹,¶À¬h«C,02-22633469,295976.71,2764453.37,121.4554358,24.98734773
¾Ç©²ªQÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¾Ç©²¸ô1¬q38¸¹1¡B2¼Ó,§d¨q¼z,02-82628665,296237.87,2764586.78,121.4580272,24.98854426
¶§¥ú¬¡¤OÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï©µ©M¸ô103¸¹1¼Ó,¤ý«a¶¯,02-22610590,297197.79,2764777.93,121.4675423,24.99024037
Àu¹ÅÃÄ®v³sÂêÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï¤¤¥¡¸ô2¬q117¸¹1¼Ó,³\µ¤³Ç,02-82629788,294640.05,2763358.01,121.4421602,24.97749867
¦ö¦wÃÄ§½,¤g«°°Ï,·s¥_¥«¤g«°°Ï²M¤ô¸ô334¸¹2¼Ó,³¯¯À¯u,02-22643960,296856.14,2764260.6,121.4641405,24.98558047
