Name,District,Address,Name_Per,Telephone,twd97X,twd97Y,wgs84aX,wgs84aY
和欣泰藥局,中和區,新北市中和區永貞路223號1樓,黃文偉,02-29290867,301837.39,2766273.8,121.5135571,25.00359367
太乙大藥局,中和區,新北市中和區中和路418號1樓,莊新昌,02-29242169,301647.95,2766222.47,121.5116784,25.00313674
慈光藥局,中和區,新北市中和區南山路117號,林鴻麟,02-22493382,300684.62,2765579.53,121.5021114,24.99736473
宜生藥局,中和區,新北市中和區莊敬路33巷3弄2號,李勝坤,02-22490159,300463.27,2766561,121.4999545,25.00623289
上仁藥局,中和區,新北市中和區中山路2段131巷11-1號,魏于力,02-22480074,300758.32,2766137.11,121.5028619,25.00239613
健星藥局,中和區,新北市中和區景平路754號,蔡鳳釵,02-22403437,300116.13,2766374.99,121.4965087,25.00456509
一安藥妝藥局,中和區,新北市中和區中和路9號1、2樓,許毅竑,02-22483778,300445.57,2766115.89,121.4997629,25.00221499
威宏藥局,中和區,新北市中和區復興路262號,林欣儀,02-22458558,300830.89,2764806.26,121.5035319,24.99037876
冠品藥師藥局,中和區,新北市中和區連城路119號1樓,姚詳權,02-22452129,300095.66,2765791.98,121.4962847,24.9993023
九崧藥局,中和區,新北市中和區南華路20號1樓,吳輝昇,02-22451379,300772.46,2765402.79,121.5029751,24.99576616
安和藥師藥局,中和區,新北市中和區錦和路410號1樓,楊桂屏,02-22433708,299560.84,2764715.14,121.4909479,24.98959812
維康藥局雙和店,中和區,新北市中和區圓通路252號1樓,徐育群,02-22431962,299851.78,2764905.18,121.4938367,24.99130428
榮記大藥局,中和區,新北市中和區員山路482號1樓,湯玉玲,02-22239546,298435.63,2766619.74,121.4798687,25.0068294
健暉藥局,中和區,新北市中和區連城路487號1樓,陳冠甫,02-22231437,298745.08,2765368.56,121.4828903,24.99552372
旭豐藥局,中和區,新北市中和區民享街４１號,李豪耿,02-22215393,297854.71,2766190.79,121.4740986,25.00297521
好意藥局,中和區,新北市中和區景新街467巷3號1樓,倪意芳,02-89416598,301847.7,2764574.49,121.5135955,24.98825194
中和環球藥局,中和區,新北市中和區中山路3段121號1樓,王映竣,9.37E+08,297892.71,2766522.07,121.4744866,25.00596486
雙合藥局,中和區,新北市中和區中正路291號1樓,林香君,9.21E+08,299875.54,2765175.7,121.4940818,24.9937458
宥元藥局,中和區,新北市中和區德光路62號１樓,洪若豪,02-89535473,297402.7,2766300.89,121.4696244,25.00398347
中和藥局,中和區,新北市中和區華新街59號1樓,蔡東橋,02-89432922,301284.06,2764137.26,121.507996,24.98432375
吉佑藥局,中和區,新北市中和區大勇街34號1樓,謝宗延,02-89416539,302226.61,2765151.35,121.5173706,24.99344676
廣元藥局,中和區,新北市中和區興南路2段27號1樓,謝宜蓁,02-86681906,301274.93,2764305.9,121.5079119,24.98584657
安泰大藥局,中和區,新北市中和區南山路35號1樓,林佩欣,02-82459423,300689.17,2765740.93,121.5021624,24.99882174
裕壬藥局,中和區,新北市中和區新生街206、208號1樓,王裕鋒,02-32349358,298826.17,2765751.83,121.4837071,24.99898132
朝安藥局,中和區,新北市中和區華新街192巷40號1樓,蔣宛玲,02-31511269,301100.87,2764065.76,121.5061789,24.98368443
捷勝藥師藥局,中和區,新北市中和區華順街122號1樓,蔣曉彬,02-29646225,296948.52,2765465.92,121.4650966,24.99645937
大竹藥局,中和區,新北市中和區和平路244號,陳冠志,02-29590964,296896.67,2765501.97,121.4645841,24.99678644
榮菖藥局,中和區,新北市中和區和平街15-1號1樓,王得權,02-29492620,301400.53,2764811.06,121.5091748,24.99040288
藥聯藥師藥局,中和區,新北市中和區宜安路143號1樓,林運麟,02-29481198,301403.52,2765717.08,121.5092382,24.99858237
良泰大藥局,中和區,新北市中和區興南路2段117巷15號1樓,詹淑貞,02-29477761,301073.88,2764113.92,121.5059134,24.98412008
千大藥局,中和區,新北市中和區立人街13號1樓,簡麗娥,02-29441567,302653.71,2765208.11,121.5216036,24.9939445
薇妮藥妝藥局景安店,中和區,新北市中和區景安路27號1樓,吳芷恬,02-29436001,301266.61,2765749.56,121.5078831,24.99888022
康富力藥局,中和區,新北市中和區興南里仁愛街53號1樓,吳秉志,02-29429896,301617.41,2764549.31,121.5113134,24.98803243
奕采藥局,中和區,新北市中和區宜安路77號1樓,李佳陵,02-29429770,301573.54,2765578.96,121.5109173,24.99732963
順心藥局,中和區,新北市中和區景新街439號1樓,鍾文芳,02-29429680,301796.37,2764644.08,121.5130896,24.98888191
信毅藥局,中和區,新北市中和區捷運路56號1樓,黃騰毅,02-29423663,301295.49,2764852.86,121.5081359,24.99078384
新源林藥局,中和區,新北市中和區華新街24號,林三木,02-29421953,301238.19,2764196.2,121.5075439,24.98485741
幸福連鎖藥局,中和區,新北市中和區忠孝街122號1樓,楊奇潔,02-29410771,301707.94,2764303.48,121.5122009,24.98581002
永成藥局,中和區,新北市中和區景平路156號1樓,宗傳銀,02-29407619,302255.25,2765015.5,121.5176492,24.99221933
宜安健康人生藥局,中和區,新北市中和區宜安路162號1樓,張建隆,02-29224648,301388.71,2765757.3,121.5090929,24.99894595
貞心藥局,中和區,新北市中和區永貞路280-1號1樓,張傑鈞,02-29203865,301807.49,2766319.31,121.5132626,25.00400554
成合藥局,中和區,新北市中和區景平路429-2號1樓,張慈烜,02-22483605,300612.57,2765358.25,121.5013896,24.99536946
三德和藥局,中和區,新北市中和區吉興里南山路289號1樓,劉姵?,02-22471028,300919.26,2764994.38,121.5044142,24.99207414
三華藥局,中和區,新北市中和區中正路124號1樓,吳瑞麗,02-22470928,300444.26,2765189.72,121.4997161,24.99385359
喬登藥局,中和區,新北市中和區景平路697號1樓,許莉晨,02-22470273,300111.64,2766242.43,121.4964593,25.00336851
中和光田藥局,中和區,新北市中和區連城路48號,陳佳卿,02-22459602,300284.97,2766086.52,121.4981708,25.00195519
恩溢藥局,中和區,新北市中和區復興路79號1、2樓,李玫緩,02-22452450,300828.36,2764786.7,121.5035062,24.99020228
祥田藥局,中和區,新北市中和區圓通路236號,蔡明秀,02-22452293,299950.02,2765057.7,121.4948154,24.99267801
真成大藥局,中和區,新北市中和區光華街38號,簡永長,02-22447008,300957.55,2766303,121.5048418,25.00388713
詠邑藥局,中和區,新北市中和區南華路43號1樓,王裕程,02-22445630,300852.36,2765507.83,121.5037705,24.99671179
以法蓮藥局,中和區,新北市中和區中興街154號1樓,巫清治,02-22438983,300451.97,2764968.47,121.4997843,24.99185581
群芳藥局,中和區,新北市中和區和興里中興街73號1樓,張谷群,02-22433729,300508.36,2765121.48,121.5003486,24.99323531
皇秦大藥局,中和區,新北市中和區中山路3段39-1號1樓,李佳?,02-22269636,298209.18,2766451.15,121.4776194,25.00531458
坤暉藥局,中和區,新北市中和區中山路3段94號2樓,洪武憲,02-22269381,298195.12,2766503.46,121.4774819,25.00578725
心樂藥局,中和區,新北市中和區新生街46號2樓,劉正宏,02-22260962,298769.98,2766222.81,121.4831671,25.00323511
銓家藥局,中和區,新北市中和區員山路319號1-2樓,李瑞鈞,02-22257728,298567.67,2765929.82,121.4811525,25.00059649
杏元藥局,中和區,新北市中和區員山路172號1樓,楊朝棋,02-22236868,298591.35,2765857.46,121.4813846,24.99994243
詠安藥局,中和區,新北市中和區員山路150-8號1樓,陳嫚真,02-22231606,298553.53,2765457.12,121.4809959,24.99632936
立健藥局,中和區,新北市中和區連城路317號1樓,程世男,02-22230614,299385.89,2765431.87,121.4892405,24.99607455
民樂健保藥局,中和區,新北市中和區員山路226巷3弄5號1樓,周健裕,02-22228999,298622.04,2765976.92,121.4816928,25.00101994
泰泰健保藥局,中和區,新北市中和區德光路97號,藍育如,02-89642049,297293.22,2766224.07,121.4685372,25.00329333
民德藥局,中和區,新北市中和區民德路61-1號1樓,陳玉,02-89514746,297340.15,2766039.63,121.4689958,25.00162669
億華藥局,中和區,新北市中和區景安路157號,張漢卿,02-89421993,301020.39,2765290.97,121.505427,24.99474838
康廷安藥局,中和區,新北市中和區大勇街16號1樓,陳蕙琪,02-86683599,302214.97,2765076.47,121.5172524,24.99277117
正陽藥師藥局,中和區,新北市中和區連城路354號1樓,高義俊,02-82287336,298672.85,2765372.93,121.4821749,24.99556546
錦和藥局,中和區,新北市中和區錦和路164號1樓,黃文通,02-82282296,299445.65,2765407.5,121.4898316,24.99585262
家嘉藥局,中和區,新北市中和區員山路377號,張均儀,02-82281368,298565.98,2766126.33,121.4811427,25.00237065
欣祥藥局,中和區,新北市中和區民德路74-1號,劉慶祥,02-29646442,297309.2,2766045.05,121.4686894,25.00167662
家家藥局,中和區,新北市中和區民德路43號,陳昱潔,02-29590964,297338.57,2766102.07,121.4689823,25.00219047
天立藥局,中和區,新北市中和區莒光路122號,陳瑞龍,02-29578831,297681.76,2766052.61,121.4723804,25.00173322
盛宏藥局,中和區,新北市中和區華褔街54號,陳淑娥,02-29513273,300545.4,2765707.08,121.5007369,24.99852093
顧藥局,中和區,新北市中和區圓通路140號,顧永福,02-29498215,300299.8,2765408.27,121.498293,24.99583143
仙正藥局,中和區,新北市中和區福美路309號,林正明,02-29498215,300157.41,2766392.72,121.4969182,25.00472376
梓芳大藥局,中和區,新北市中和區圓通路278號,林梓芳,02-29498215,299645.67,2764843.66,121.4917928,24.99075568
建昌大藥局,中和區,新北市中和區華新街232巷17號,黃淑惠,02-29471537,301055.62,2763885.32,121.5057241,24.98205688
亮安藥局,中和區,新北市中和區宜安路2號,林建良,02-29469898,301844.92,2765382.89,121.5135983,24.99555023
華新藥局,中和區,新北市中和區華新街73號,呂秋東,02-29448345,301309.19,2764092.55,121.5082434,24.98391922
民康藥局,中和區,新北市中和區忠孝街122號-1,陳英欽,02-29434163,301707.94,2764303.48,121.5122009,24.98581002
信隆大藥局,中和區,新北市中和區安樂路6號,陳文淵,02-29426196,301662.58,2764953.14,121.5117759,24.9916767
慶華藥師藥局,中和區,新北市中和區華新街90號1樓,丁郁婷,02-29420666,301330.36,2764012.91,121.5084501,24.98319951
義豐西藥局,中和區,新北市中和區景新街383巷4號,林神月,02-29420169,301774.24,2764807.03,121.5128765,24.99035375
劉永安藥局,中和區,新北市中和區景安路227號,劉遠望,02-29408588,300908.41,2764900.45,121.5043033,24.99122653
上元藥局,中和區,新北市中和區景平路160號2樓,欒婉玲,02-29408050,302225.29,2765018.01,121.5173524,24.99224301
宏信藥局,中和區,新北市中和區永貞路262巷4號,蔡建發,02-29294976,301871.52,2766308.46,121.5138965,25.00390542
林德興藥局,中和區,新北市中和區永貞路242巷9號,林德興,02-29228026,301894.54,2766320.37,121.514125,25.00401212
景安藥局,中和區,新北市中和區景德街141號1樓及景平路111巷60弄56號1樓,林品蕙,02-28668215,302216.55,2764942.85,121.5172631,24.99156484
福雄藥局,中和區,新北市中和區景平路540號,黃敏雄,02-22499894,300723.46,2765296.63,121.5024858,24.99480943
惠民藥局,中和區,新北市中和區中興街153號1樓,陳裕成,02-22475303,300476.48,2764879.02,121.5000239,24.99104749
悅聖藥局,中和區,新北市中和區圓通路149號1樓,林美惠,02-22470133,300305.88,2765390.28,121.4983526,24.9956688
安康藥局,中和區,新北市中和區圓通路309號,蘇彥明,02-22450837,299791.96,2764842.82,121.4932419,24.99074332
藥安藥局,中和區,新北市中和區廣福路16號1樓,白三奇,02-22447066,300989.75,2766179.1,121.5051562,25.00276747
建琳藥局,中和區,新北市中和區景安路202-1號,蔡明志,02-22427887,300880.76,2764900.19,121.5040294,24.99122507
三越藥局,中和區,新北市中和區復興路277號1樓,陳姿伶,02-22427215,300714.96,2764785.64,121.5023828,24.99019646
安華藥局,中和區,新北市中和區圓通路293-2號2樓,余鏡鴻,02-22426010,299966.01,2765037.19,121.494973,24.99249238
田邊藥局,中和區,新北市中和區泰和街43號1樓,陳淑芬,02-22407725,300380.75,2765806.33,121.4991094,24.99942241
新雙和藥師藥局,中和區,新北市中和區中正路281-8號1樓,陳鳳香,02-22404276,299954.25,2765171.73,121.4948614,24.99370739
瑞發藥局,中和區,新北市中和區民享街56-1號,王椿炎,02-22235319,297843.08,2766127.3,121.4739812,25.00240237
欣大藥局,中和區,新北市中和區連城路372-3號3樓,楊玉梅,02-22217036,298625.23,2765358.37,121.4817026,24.99543561
國新藥局,中和區,新北市中和區員山路146-4號,施漢,02-22212322,298553.27,2765452.88,121.4809931,24.99629115
威安藥局,中和區,新北市中和區景新街328號1樓,謝曼娜,02-29485117,301662.61,2764883.39,121.5117736,24.99104693
杏安藥局,中和區,新北市中和區莊敬路35號1樓,黃玉?,02-22430281,300537.62,2766427.64,121.5006862,25.00502643
璟福藥局,中和區,新北市中和區安平路76號1樓,姚亮宇,02-29408669,301586.24,2765489.13,121.5110397,24.99651825
