Name,District,Address,twd97X,twd97Y,wgs84aX,wgs84aY
理方藥局,蘆洲區,新北市蘆洲區長安街67號,296683.49,2774703.95,121.4627839,25.07986884
謚安中西藥局,蘆洲區,新北市蘆洲區永平街6號,296353.79,2775885.64,121.4595555,25.09054733
成安藥局,蘆洲區,新北市蘆洲區長安街257號1樓,296280.72,2775106.93,121.4588049,25.08351937
全民藥局,蘆洲區,新北市蘆洲區中山一路201、203號,297840.39,2774832.96,121.4742567,25.08099742
松伯藥局,蘆洲區,新北市蘆洲區中山二路2號,297983.17,2774928.37,121.4756754,25.0818542
威良藥局,蘆洲區,新北市蘆洲區中正路185巷34號1樓,297175.62,2775286.9,121.4676824,25.08511647
長榮大藥局,蘆洲區,新北市蘆洲區長榮路51號,296661.44,2775058.15,121.4625774,25.08306727
福您安中西藥局,蘆洲區,新北市蘆洲區長安街246巷6號1樓,296193.71,2775398.45,121.4579521,25.08615391
杏昌藥局,蘆洲區,新北市蘆洲區民族路86號1樓,298199.22,2775266.22,121.477829,25.08489745
達特藥局,蘆洲區,新北市蘆洲區復興路62號,297876.02,2775418.97,121.4746304,25.08628673
保成藥局,蘆洲區,新北市蘆洲區中華街49號,296676.39,2774837.32,121.4627181,25.0810732
泰明藥局,蘆洲區,新北市蘆洲區長榮路67號,296622.78,2775106.91,121.4621958,25.08350867
上群藥師藥局,蘆洲區,新北市蘆洲區民族路287號1樓,297961.11,2775937.04,121.4754919,25.09096117
施藥局,蘆洲區,新北市蘆洲區信義路230號,298291.95,2775373.33,121.478752,25.08586142
華信藥局,蘆洲區,新北市蘆洲區民族路154號1樓,298376.84,2775401.33,121.4795946,25.08611155
群欣藥局,蘆洲區,新北市蘆洲區長安街118號2樓,296474.79,2774908.66,121.460722,25.08172346
華興藥師藥局,蘆洲區,新北市蘆洲區中山一路184號1樓,297801.18,2774837.88,121.4738682,25.08104304
百分百藥局,蘆洲區,新北市蘆洲區中山二路48號2樓,297805.33,2774971.44,121.473914,25.08224867
乙安藥局,蘆洲區,新北市蘆洲區長安街179號1樓,296467.77,2774892.34,121.4606518,25.08157632
松展多利日式連鎖藥粧藥局,蘆洲區,新北市蘆洲區民族路161號,298349.63,2775628.65,121.4793328,25.08816463
和泰藥師藥局,蘆洲區,新北市蘆洲區復興路69號1樓,298018.25,2775534.75,121.4760443,25.08732746
龍安藥局,蘆洲區,新北市蘆洲區復興路67號1樓,298014.28,2775532.63,121.4760049,25.08730847
全佑藥局,蘆洲區,新北市蘆洲區三民路11號1樓,297985.02,2774963.43,121.475695,25.08217065
天士藥局,蘆洲區,新北市蘆洲區中正路36號,297538.22,2774983.71,121.4712665,25.0823679
世全藥局,蘆洲區,新北市蘆洲區民生街133號1樓,297667.39,2774631.13,121.4725348,25.07918076
蘋果藥妝藥局,蘆洲區,新北市蘆洲區光華路172號1樓,296928.82,2774964.73,121.4652248,25.08221558
大政藥局,蘆洲區,新北市蘆洲區中山二路75號１樓,297743.9,2774932.64,121.4733037,25.0819003
欣泰藥局,蘆洲區,新北市蘆洲區民族路407號,297311.02,2775805.27,121.4690425,25.08979205
蘆洲陳大藥局,蘆洲區,新北市蘆洲區長安街95號,296590.8,2774773.54,121.4618674,25.08050002
蓁美健康藥局,蘆洲區,新北市蘆洲區九芎街90巷21號,296878.8,2774847.78,121.4647249,25.08116129
常喜藥局,蘆洲區,新北市蘆洲區中正路140號,297318.12,2775301.58,121.4690956,25.0852445
